Date,Business Area,Region,Country,IT Sub Area,IT Area,Cost element name,Cost Element Group,Cost Element Sub Group,Actual
Sep,R&D,Europe,United Kingdom,Planning,BU Support,Payroll Taxes - Salaries,Labor,Internal Labor,437.99
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Auto Insurance,Other,Vehicles,90.54
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Bonuses,Labor,Internal Labor,7384.91
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Contractors,Labor,External Labor,7273.08
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Lease,Other,Vehicles,7.44
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Memberships,Other,Other,357.4
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Other Miscellaneous Expense,Other,Other,148.54
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Payroll Taxes - Salaries,Labor,Internal Labor,14707.11
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Regular Salaries And Wages,Labor,Internal Labor,38836.52
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Subscriptions and Reference Material,Other,Other,892.66
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Telephone,Other,Telecomm,345.87
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Training,Other,Training,1619.46
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Travel Expense,Other,Travel,16599.47
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Unscheduled Overtime,Labor,Internal Labor,297.74
Sep,Distribution,Europe,United Kingdom,GRC,Governance,Vehicle Fuel,Other,Vehicles,708.27
Sep,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Adjustments,Labor,Internal Labor,702.84
Sep,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Insurance,Labor,Internal Labor,1671.96
Sep,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Lease,Other,Vehicles,1092.55
Sep,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,M&E-100% Deductible,Other,Travel,-43.3
Sep,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Other ( + Tax ),Labor,Internal Labor,440.09
Sep,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Payroll Taxes - Salaries,Labor,Internal Labor,602.77
Sep,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Regular Salaries And Wages,Labor,Internal Labor,8427.43
Sep,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Salaries Deductions - Other,Other,Other,18.43
Sep,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Vacation,Labor,Internal Labor,674.19
Sep,Infrastructure,Europe,Netherlands,Data Centers,Infrastructure,Vehicle Fuel,Other,Vehicles,260.08
Sep,Infrastructure,USA,USA,Mobility,Enablement,Fixed Assets,Depr & Amort,Depreciation,6861.76
Sep,Infrastructure,USA,USA,Mobility,Enablement,Outsourcing,Labor,External Labor,27039.9
Sep,Infrastructure,USA,USA,Mobility,Enablement,Professional Services,Labor,External Labor,268612.19
Sep,Infrastructure,USA,USA,Mobility,Enablement,Property Taxes,Other,Taxes,2799.34
Sep,Infrastructure,USA,USA,Mobility,Enablement,Purchased Software,Hardware & Software,Software,9369.17
Sep,Infrastructure,USA,USA,Mobility,Enablement,Software Maintenance,Hardware & Software,Software Maintenance,240574.44
Sep,Infrastructure,USA,USA,Mobility,Enablement,Telecom,Other,Telecomm,89.14
Sep,BU,USA,Puerto Rico,R5,Functional,Bonuses,Labor,Internal Labor,2471.4
Sep,BU,USA,Puerto Rico,R5,Functional,Contractors,Labor,External Labor,105182.5
Sep,BU,USA,Puerto Rico,R5,Functional,Insurance,Labor,Internal Labor,1303.39
Sep,BU,USA,Puerto Rico,R5,Functional,Lease,Other,Vehicles,813.27
Sep,BU,USA,Puerto Rico,R5,Functional,Other Bonuses,Labor,Internal Labor,384.8
Sep,BU,USA,Puerto Rico,R5,Functional,Other Miscellaneous Expense,Other,Other,-69.69
Sep,BU,USA,Puerto Rico,R5,Functional,Outside Repairs - Cars,Other,Vehicles,6
Sep,BU,USA,Puerto Rico,R5,Functional,Payroll Taxes - Salaries,Labor,Internal Labor,822.51
Sep,BU,USA,Puerto Rico,R5,Functional,Professional Services,Labor,External Labor,2187.77
Sep,BU,USA,Puerto Rico,R5,Functional,Purchased Software,Hardware & Software,Software,400
Sep,BU,USA,Puerto Rico,R5,Functional,Regular Salaries And Wages,Labor,Internal Labor,19239.92
Sep,BU,USA,Puerto Rico,R5,Functional,Retirement Medical,Labor,Internal Labor,588.38
Sep,BU,USA,Puerto Rico,R5,Functional,Retirement Plan Match,Labor,Internal Labor,685.61
Sep,BU,USA,Puerto Rico,R5,Functional,Savings Plan,Labor,Internal Labor,1154.4
Sep,BU,USA,Puerto Rico,R5,Functional,Service Contracts,Hardware & Software,Hardware Maintenance,1238
Sep,BU,USA,Puerto Rico,R5,Functional,Telecommunication,Other,Telecomm,36.98
Sep,BU,USA,Puerto Rico,R5,Functional,Telephone,Other,Telecomm,135.54
Sep,BU,USA,Puerto Rico,R5,Functional,Travel Expense,Other,Travel,220
Sep,BU,USA,Puerto Rico,R5,Functional,Workers Comp,Labor,Internal Labor,202.02
Sep,Infrastructure,Europe,United Kingdom,Hosting,Infrastructure,Lease,Other,Vehicles,-7624.49
Sep,Infrastructure,Europe,United Kingdom,Hosting,Infrastructure,Payroll Taxes - Salaries,Labor,Internal Labor,2747.34
Sep,Infrastructure,Europe,United Kingdom,Hosting,Infrastructure,Regular Salaries And Wages,Labor,Internal Labor,20331.8
Sep,Infrastructure,Europe,United Kingdom,Hosting,Infrastructure,Retirement Plan Match,Labor,Internal Labor,703.07
Sep,Infrastructure,Europe,United Kingdom,Hosting,Infrastructure,Telephone,Other,Telecomm,45.64
Sep,Infrastructure,Europe,United Kingdom,Hosting,Infrastructure,Travel Expense,Other,Travel,2061.39
Sep,Infrastructure,Europe,United Kingdom,Hosting,Infrastructure,Unscheduled Overtime,Labor,Internal Labor,3538.63
Sep,Infrastructure,USA,USA,Productivity,Infrastructure,Office Services,Labor,External Labor,375237.29
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Fixed Assets,Depr & Amort,Depreciation,6128.84
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Manufacturing Materials,Other,Other,1297.53
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Outsourcing,Labor,External Labor,146848.56
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Software,Depr & Amort,Amortization,27533.13
Sep,Manufacturing,Europe,France,Manufacturing,BU Support,Sub Contract Labor,Labor,External Labor,627.84
Sep,Office & Administrative,Latin America,Brazil,R2,Functional,Fixed Assets,Depr & Amort,Depreciation,3977.69
Sep,Office & Administrative,Latin America,Brazil,R2,Functional,Maintenance and Repairs,Hardware & Software,Hardware Maintenance,3787.52
Sep,Office & Administrative,Latin America,Brazil,R2,Functional,Non product,Hardware & Software,Hardware Maintenance,2571.84
Sep,Office & Administrative,Latin America,Brazil,R2,Functional,Other Supplies,Other,Supplies,6.97
Sep,Office & Administrative,Latin America,Brazil,R2,Functional,Outsourcing,Labor,External Labor,18375.1
Sep,Office & Administrative,Latin America,Brazil,R2,Functional,Telephone,Other,Telecomm,-9.83
Sep,BU,Europe,Czech Republic,Distribution,BU Support,BUE,Shared Services,Inbound Allocations,-107816.76
Sep,BU,Europe,Czech Republic,Distribution,BU Support,Billing,Labor,Internal Labor,-31954.07
Sep,BU,Europe,Czech Republic,Distribution,BU Support,Telephone,Other,Telecomm,117.8
Sep,BU,Latin America,Mexico,Emerging,BU Support,Contractors,Labor,External Labor,-5599.39
Sep,BU,Latin America,Mexico,Emerging,BU Support,Other Miscellaneous,Other,Other,180.66
Sep,BU,Latin America,Mexico,Emerging,BU Support,Other Miscellaneous Expense,Other,Other,4769.19
Sep,BU,Latin America,Mexico,Emerging,BU Support,Training Assistance,Other,Training,649.53
Sep,BU,USA,USA,Distribution,BU Support,Bonuses,Labor,Internal Labor,11595.85
Sep,BU,USA,USA,Distribution,BU Support,Individual Performance Recognition,Other,Employee Performance,150
Sep,BU,USA,USA,Distribution,BU Support,Insurance,Labor,Internal Labor,7509.41
Sep,BU,USA,USA,Distribution,BU Support,M&E-Nondeductible,Other,Travel,19.38
Sep,BU,USA,USA,Distribution,BU Support,Payroll Taxes - Salaries,Labor,Internal Labor,3111.93
Sep,BU,USA,USA,Distribution,BU Support,Purchased Software,Hardware & Software,Software,37.52
Sep,BU,USA,USA,Distribution,BU Support,Regular Salaries And Wages,Labor,Internal Labor,78683.97
Sep,BU,USA,USA,Distribution,BU Support,Retirement Medical,Labor,Internal Labor,7583.05
Sep,BU,USA,USA,Distribution,BU Support,Retirement Plan Match,Labor,Internal Labor,8940.76
Sep,BU,USA,USA,Distribution,BU Support,Savings Plan,Labor,Internal Labor,4701.83
Sep,BU,USA,USA,Distribution,BU Support,Software Maintenance,Hardware & Software,Software Maintenance,27.21
Sep,BU,USA,USA,Distribution,BU Support,Telecom,Other,Telecomm,733.03
Sep,BU,USA,USA,Distribution,BU Support,Travel Expense,Other,Travel,504.01
Sep,Infrastructure,Africa & Asia,Turkey,Emerging,BU Support,Computer Hardware,Hardware & Software,Hardware,-40.28
